"","JHLLT","JLKMOVE","JHSPRBQ","JGHQD","JGHQF","JGHQH","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JGHQC","JVOTE7","JLFSATO"
"415",2,1,2,3,1,2,2,1,2,1,2,2,2,7
"416",2,1,2,1,2,1,2,1,2,1,2,1,2,7
"417",2,2,1,2,2,2,2,1,2,1,1,2,1,6
"418",2,2,2,2,2,2,2,1,2,2,2,4,1,3
"419",1,2,1,2,2,2,2,1,2,1,2,4,1,4
"420",2,1,2,2,2,2,2,1,2,1,2,2,1,6
"421",1,2,1,2,3,3,2,1,2,1,1,3,1,4
"422",1,1,2,3,3,3,2,1,2,1,2,2,1,4
"423",2,1,2,1,2,2,2,1,2,1,2,1,2,7
"424",1,1,2,2,2,2,2,2,2,2,2,2,2,4
"425",1,1,2,2,2,3,2,2,2,1,2,2,2,4
"426",2,2,1,2,2,2,2,1,2,1,1,2,1,4
"427",2,2,1,2,2,2,2,1,2,1,1,2,2,4
"428",1,1,2,3,3,3,2,2,2,2,1,3,1,2
"429",2,1,2,2,1,2,2,1,2,1,2,2,1,6
"430",1,1,2,3,3,3,2,1,2,1,2,2,1,2
"431",2,1,2,2,2,2,2,1,2,1,1,1,1,6
"432",2,1,2,2,2,3,2,1,2,1,1,2,1,4
